"Mês/Ano";"UF";"Município";"Zona";"Quantidade";"%";
"";"SP";"FLOREAL";"162";"2.676";"0,008"
"";"SP";"FLÓRIDA PAULISTA";"157";"8.365";"0,026"
"";"SP";"FLORÍNEA";"15";"2.674";"0,008"
"";"SP";"FRANCA";"46";"114.942";"0,359"
"";"SP";"FRANCA";"291";"114.054";"0,356"
"";"SP";"FRANCISCO MORATO";"367";"112.593";"0,352"
"";"SP";"FRANCO DA ROCHA";"192";"95.799";"0,299"
"";"SP";"GABRIEL MONTEIRO";"210";"2.588";"0,008"
"";"SP";"GÁLIA";"47";"5.592";"0,017"
"";"SP";"GARÇA";"47";"34.878";"0,109"
"";"SP";"GASTÃO VIDIGAL";"162";"3.333";"0,010"
"";"SP";"GAVIÃO PEIXOTO";"385";"3.717";"0,012"
"";"SP";"GENERAL SALGADO";"168";"8.570";"0,027"
"";"SP";"GETULINA";"160";"8.476";"0,026"
"";"SP";"GLICÉRIO";"289";"4.078";"0,013"
"";"SP";"GUAIÇARA";"67";"8.280";"0,026"
"";"SP";"GUAIMBÉ";"160";"4.578";"0,014"
"";"SP";"GUAÍRA";"169";"29.718";"0,093"
"";"SP";"GUAPIAÇU";"126";"14.263";"0,045"
"";"SP";"GUAPIARA";"37";"15.922";"0,050"
"";"SP";"GUARÁ";"338";"15.322";"0,048"
"";"SP";"GUARAÇAÍ";"153";"7.012";"0,022"
"";"SP";"GUARACI";"80";"8.469";"0,026"
"";"SP";"GUARANI D'OESTE";"302";"1.701";"0,005"
"";"SP";"GUARANTÃ";"31";"5.577";"0,017"
"";"SP";"GUARARAPES";"151";"24.876";"0,078"
"";"SP";"GUARAREMA";"319";"22.345";"0,070"
"";"SP";"GUARATINGUETÁ";"48";"36.565";"0,114"
"";"SP";"GUARATINGUETÁ";"316";"52.813";"0,165"
"";"SP";"GUAREÍ";"140";"8.959";"0,028"
"";"SP";"GUARIBA";"197";"28.364";"0,089"
"";"SP";"GUARUJÁ";"212";"117.822";"0,368"
"";"SP";"GUARUJÁ";"310";"104.012";"0,325"
"";"SP";"GUARULHOS";"176";"151.855";"0,475"
"";"SP";"GUARULHOS";"185";"123.729";"0,387"
"";"SP";"GUARULHOS";"278";"86.139";"0,269"
"";"SP";"GUARULHOS";"279";"126.360";"0,395"
"";"SP";"GUARULHOS";"393";"122.822";"0,384"
"";"SP";"GUARULHOS";"394";"172.317";"0,539"
"";"SP";"GUARULHOS";"395";"85.032";"0,266"
"";"SP";"GUATAPARÁ";"293";"5.246";"0,016"
"";"SP";"GUZOLÂNDIA";"225";"3.836";"0,012"
"";"SP";"HERCULÂNDIA";"184";"6.876";"0,021"
"";"SP";"HOLAMBRA";"75";"10.384";"0,032"
"";"SP";"HORTOLÂNDIA";"361";"138.602";"0,433"
"";"SP";"IACANGA";"49";"7.465";"0,023"
"";"SP";"IACRI";"184";"5.312";"0,017"
"";"SP";"IARAS";"205";"3.975";"0,012"
"";"SP";"IBATÉ";"410";"24.510";"0,077"
"";"SP";"IBIRÁ";"179";"8.256";"0,026"
"";"SP";"IBIRAREMA";"83";"4.933";"0,015"
"";"SP";"IBITINGA";"49";"41.982";"0,131"
"";"SP";"IBIÚNA";"191";"58.310";"0,182"
"";"SP";"ICÉM";"78";"6.707";"0,021"
"";"SP";"IEPÊ";"106";"6.115";"0,019"
"";"SP";"IGARAÇU DO TIETÊ";"200";"18.593";"0,058"
"";"SP";"IGARAPAVA";"50";"21.895";"0,068"
"";"SP";"IGARATÁ";"115";"7.733";"0,024"
"";"SP";"IGUAPE";"51";"23.006";"0,072"
"";"SP";"ILHA COMPRIDA";"51";"8.338";"0,026"
"";"SP";"ILHA SOLTEIRA";"368";"21.596";"0,067"
"";"SP";"ILHABELA";"132";"22.081";"0,069"
"";"SP";"INDAIATUBA";"211";"149.305";"0,467"
"";"SP";"INDIANA";"71";"4.486";"0,014"
"";"SP";"INDIAPORÃ";"302";"3.296";"0,010"
"";"SP";"INÚBIA PAULISTA";"69";"3.076";"0,010"
"";"SP";"IPAUSSU";"114";"10.661";"0,033"
"";"SP";"IPERÓ";"369";"18.233";"0,057"
"";"SP";"IPEÚNA";"245";"4.674";"0,015"
"";"SP";"IPIGUÁ";"268";"3.710";"0,012"
"";"SP";"IPORANGA";"10";"3.513";"0,011"
"";"SP";"IPUÃ";"123";"10.830";"0,034"
"";"SP";"IRACEMÁPOLIS";"243";"16.115";"0,050"
"";"SP";"IRAPUÃ";"207";"5.680";"0,018"
"";"SP";"IRAPURU";"154";"5.455";"0,017"
"";"SP";"ITABERÁ";"53";"14.061";"0,044"
"";"SP";"ITAÍ";"301";"16.916";"0,053"
"";"SP";"ITAJOBI";"79";"12.371";"0,039"
"";"SP";"ITAJU";"19";"3.131";"0,010"
"";"SP";"ITANHAÉM";"189";"71.437";"0,223"
"";"SP";"ITAOCA";"10";"2.950";"0,009"
"";"SP";"ITAPECERICA DA SERRA";"201";"110.888";"0,347"
"";"SP";"ITAPETININGA";"52";"105.004";"0,328"
"";"SP";"ITAPEVA";"53";"68.193";"0,213"
"";"SP";"ITAPEVI";"359";"143.115";"0,447"
"";"SP";"ITAPIRA";"54";"55.082";"0,172"
"";"SP";"ITAPIRAPUÃ PAULISTA";"10";"3.161";"0,010"
"";"SP";"ITÁPOLIS";"55";"31.275";"0,098"
"";"SP";"ITAPORANGA";"56";"11.408";"0,036"
"";"SP";"ITAPUÍ";"241";"8.821";"0,028"
"";"SP";"ITAPURA";"88";"3.728";"0,012"
"";"SP";"ITAQUAQUECETUBA";"377";"107.301";"0,335"
"";"SP";"ITAQUAQUECETUBA";"419";"106.581";"0,333"
"";"SP";"ITARARÉ";"57";"37.584";"0,117"
"";"SP";"ITARIRI";"295";"9.592";"0,030"
"";"SP";"ITATIBA";"58";"75.448";"0,236"
"";"SP";"ITATINGA";"26";"13.899";"0,043"
"";"SP";"ITIRAPINA";"245";"8.989";"0,028"
"";"SP";"ITIRAPUÃ";"85";"5.009";"0,016"
"";"SP";"ITOBI";"39";"6.367";"0,020"
"";"SP";"ITU";"59";"121.435";"0,380"
"";"SP";"ITUPEVA";"65";"35.069";"0,110"
"";"SP";"ITUVERAVA";"60";"30.305";"0,095"
"";"SP";"JABORANDI";"178";"5.006";"0,016"
"";"SP";"JABOTICABAL";"61";"53.337";"0,167"
"";"SP";"JACAREÍ";"62";"80.432";"0,251"
"";"SP";"JACAREÍ";"396";"79.616";"0,249"
"";"SP";"JACI";"72";"5.126";"0,016"
"";"SP";"JACUPIRANGA";"228";"13.613";"0,043"
"";"SP";"JAGUARIÚNA";"333";"35.939";"0,112"
"";"SP";"JALES";"152";"37.746";"0,118"
"";"SP";"JAMBEIRO";"29";"4.365";"0,014"
"";"SP";"JANDIRA";"304";"75.628";"0,236"
"";"SP";"JARDINÓPOLIS";"204";"27.159";"0,085"
"";"SP";"JARINU";"16";"19.025";"0,059"
"";"SP";"JAÚ";"63";"97.464";"0,305"
"";"SP";"JERIQUARA";"155";"3.241";"0,010"
"";"SP";"JOANÓPOLIS";"92";"9.271";"0,029"
"";"SP";"JOÃO RAMALHO";"104";"3.783";"0,012"
"";"SP";"JOSÉ BONIFÁCIO";"64";"25.377";"0,079"
"";"SP";"JÚLIO MESQUITA";"31";"3.719";"0,012"
"";"SP";"JUMIRIM";"142";"2.357";"0,007"
"";"SP";"JUNDIAÍ";"65";"69.197";"0,216"
"";"SP";"JUNDIAÍ";"281";"134.015";"0,419"
